platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,a_seagull,A_Seagull,19070311,1007095,48530,17985,3360,27954,2078670,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a_seagull-profile_image-4d2d235688c7dc66-300x300.png,US,en,partner,Male
twitch,elxokas,elxokas,31919607,966975,33892,20611,2815,8316,3385636,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-300x300.png,ES,es,partner,Male
twitch,castro_1021,Castro_1021,52091823,944230,42219,23267,2435,11327,3019560,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,elspreen,ElSpreen,157658336,925136,74901,49341,1125,37344,3802118,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-300x300.jpeg,AR,es,partner,Male
twitch,just_ns,just_ns,42316376,900635,32647,16835,3210,4187,1993361,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d61321a5-9a02-4f46-b718-70e3c4260d66-profile_image-300x300.png,RU,ru,partner,Male
twitch,stylishnoob4,stylishnoob4,50988750,891850,23822,13582,3940,2677,1928163,Final Fantasy XIV Online,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male
twitch,sinatraa,sinatraa,138094916,887840,32573,18089,2945,27318,871019,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d5de7613-5632-4c20-bf83-132f5e4c28ac-profile_image-300x300.png,US,en,partner,Male
twitch,onextwo_,onextwo_,731357212,879351,767642,390823,135,16628,,Unknown,https://static-cdn.jtvnw.net/jtv_user_pictures/4b68075f-0cb1-48fa-b31b-8927eb86fea3-profile_image-300x300.png,,en,without status,
twitch,mizkif,Mizkif,94753024,865194,73610,30627,1695,-18960,4013230,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png,US,en,partner,Male
twitch,loltyler1,loltyler1,51496027,829308,22838,14320,3475,5293,2255017,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male
