platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,riotgames,Riot Games,36029255,10621375,451088,135593,4700,84069,16469833,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-300x300.png,,en,partner,Organization
twitch,gaules,Gaules,181077473,6721128,366056,40027,10075,18254,10006231,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,esl_csgo,ESL_CSGO,31239503,4074545,141131,29544,8275,27679,14396360,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg,,en,partner,Organization
twitch,squeezie,Squeezie,52130765,4012854,1044867,308682,780,170230,12654408,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/df3e5800-b524-4c4e-87b0-8b3646d9185a-profile_image-300x300.png,FR,fr,partner,Male
twitch,fextralife,Fextralife,156037856,3988051,92467,39422,6070,46950,6192877,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-300x300.png,,en,partner,Organization
twitch,otplol_,otplol_,622498423,2831283,117858,16896,10055,6220,3391893,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,xqc,xQc,71092938,2477228,133840,77013,1930,26630,8304552,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,auronplay,auronplay,459331509,2147141,122138,85886,1500,39564,8272994,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,lvpes,LVPes,22346597,2102840,110213,31270,4035,9231,3232334,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,cblol,CBLOL,36511475,2001506,175159,54587,2200,10211,2435259,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/537c6be6-37d3-4e01-a1fb-a56f8bda32ae-profile_image-300x300.png,BR,pt,partner,Organization
twitch,lla,LLA,142055874,1980671,86868,50357,2360,15335,1974429,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2944bdb8-bbd5-4cfc-9aa6-429a2d0b6789-profile_image-300x300.jpeg,,es,partner,Organization
twitch,kaicenat,KaiCenat,641972806,1632816,100995,64243,1525,52814,5880447,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,eliasn97,eliasn97,238813810,1615857,78407,37005,2620,10368,,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,a_seagull,A_Seagull,19070311,1555480,77427,25641,3640,47993,3328234,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a_seagull-profile_image-4d2d235688c7dc66-300x300.png,US,en,partner,Male
twitch,adinross,AdinRoss,59299632,1549926,129020,56879,1635,30275,2785630,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png,US,en,partner,Male
twitch,paulinholokobr,PaulinhoLOKObr,531177917,1445336,112826,59808,1450,34912,4742426,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male
twitch,lck_korea,LCK_Korea,190835892,1432458,160335,36652,2345,4690,4375257,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png,KR,ko,partner,Organization
twitch,illojuan,IlloJuan,90075649,1270151,77006,37450,2035,19453,2782470,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-300x300.png,ES,es,partner,Male
twitch,trainwreckstv,Trainwreckstv,71190292,1248561,37084,22702,3300,7099,2055020,Slots,https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-300x300.png,US,en,partner,Male
twitch,csgo_mc,csgo_mc,213748641,1247842,80671,14276,5245,6716,5100145,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-300x300.png,UA,ru,partner,Organization
twitch,summit1g,summit1g,26490481,1205892,38747,15511,4665,3191,1783031,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
twitch,ibai,ibai,83232866,1158663,123071,46974,1480,20246,5405582,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png,ES,es,partner,Male
twitch,zackrawrr,zackrawrr,552120296,1050218,28221,16671,3780,22218,2949819,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male
twitch,esl_csgob,ESL_CSGOb,35936871,1046256,116549,15813,3970,18162,3303653,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/88ebc32c-7684-4cbd-a4fe-c26997ad8875-profile_image-300x300.jpeg,,en,partner,Organization
twitch,ml7support,mL7support,51929371,1041567,46883,14671,4260,33072,2330331,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/94286e18-367b-4795-98a5-d8dd530d4d0a-profile_image-300x300.png,RO,en,partner,Male
twitch,castro_1021,Castro_1021,52091823,953722,38724,23598,2425,14956,3077543,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,lirik,LIRIK,23161357,916272,37091,23149,2375,4158,2269664,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png,US,en,partner,Male
