platform,channel_id,channel_name,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type
twitch,652452451,meduska,16842,Just Chatting,PL,pl,partner,
twitch,30220059,esl_sc2,1078,StarCraft II,,en,partner,Organization
twitch,49045679,woowakgood,1752,Just Chatting,KR,ko,partner,Male
twitch,104833324,riotgamesjp,1188,League of Legends,JP,ja,partner,Organization
twitch,40488774,stray228,5653,Dota 2,RU,ru,partner,Male
twitch,35936871,esl_csgob,4059,Counter-Strike: Global Offensive,,en,partner,Organization
twitch,194701994,pgl_dota2en3,23912,Dota 2,,en,partner,
twitch,121510236,juansguarnizo,13025,Minecraft,CO,es,partner,Male
twitch,30857876,folagorlives,8404,Pokémon Community Game,ES,es,partner,Male
twitch,22484632,forsen,498,Terraria,SE,en,partner,Male
