"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/87dbd056-f3d4-451f-ba06-bbe3208a801b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Loui5Ng","58110315","88380","1767","656","52911","3016","1742793","true","false","Chinese (Hong Kong SAR)","Loui5Ng"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/58ba2e14-68fb-4d8b-becf-78cc6e3b0e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","艾維院 (ankgaminghk)","48285780","273405","935","176","18368","622","1122811","true","true","Chinese (Hong Kong SAR)","艾維院 (ankgaminghk)"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/underground_dv-profile_image-36cd6cc091577d13-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","達哥 (underground_dv)","27945720","12255","9865","2280","162452","4329","1557573","true","false","Chinese (Hong Kong SAR)","達哥 (underground_dv)"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/08443c22-d1fc-4266-9799-556e31490fa3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","melonyeahyeahyeah","26819775","402045","1407","66","16018","621","675677","false","true","Chinese (Hong Kong SAR)","melonyeahyeahyeah"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/4e682958-0a2c-44c4-8777-bfe5d0dbe6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","肥捏 (nepg)","10201695","161850","358","62","5506","2043","347645","false","true","Chinese (Hong Kong SAR)","肥捏 (nepg)"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/aac3c7b6-a7fd-4ef7-b221-e7e54f36c2ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","顏色教練 (colour1020)","10031250","46800","570","214","13402","2634","299324","true","false","Chinese (Hong Kong SAR)","顏色教練 (colour1020)"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/c941921f-217b-4785-aa30-c05b3f39d4b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","毒叔 (diedoggod)","6045135","159300","312","37","6290","605","195391","true","false","Chinese (Hong Kong SAR)","毒叔 (diedoggod)"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/7f606e76-4c2f-4340-aad9-734aa3e9c874-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","YankeeChan","5675280","92115","329","61","6094","2453","293232","false","true","Chinese (Hong Kong SAR)","YankeeChan"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/f0d6028e-5a7e-448b-8c47-59e4e441423e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","神雕 (timelipper)","5611440","81840","461","68","2812","1145","215759","true","true","Chinese (Hong Kong SAR)","神雕 (timelipper)"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/39a39699-6a8d-41ad-bafe-098bb62ed18a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","EggieMein","5403705","85125","328","63","3233","2983","108361","false","true","Chinese (Hong Kong SAR)","EggieMein"
