"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/c7aaf7b0-49c7-4dd3-8228-861478bfd435-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","14051438610","180795","617767","77719","18478816","11889827","351381172","false","false","English","Ninja"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Myth","2354471130","125295","166840","18790","7446663","4618924","65814227","true","false","English","Myth"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","2999618985","114615","152683","26170","11373685","4058923","66490818","true","false","English","Tfue"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/72b25194-8f6a-4034-97f0-150c6be52321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DaequanWoco","1988001930","103395","126905","19226","4196613","3135944","40386189","true","true","English","DaequanWoco"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","6135326190","183285","149632","33473","10455584","3078868","170758983","true","false","English","shroud"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/ea2a756e-32e4-4db3-9386-646433d16b5b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dakotaz","3136873860","154500","113990","20302","4662493","2846292","62605589","true","false","English","Dakotaz"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/a6af42bf-64db-42f6-9db6-88d3e85e4c34-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrLupo","1743054375","168195","101026","10362","4478379","2733145","46251713","true","false","English","DrLupo"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/6cd4de40-1a83-46c7-aea5-3bd73f90e7e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","pokimane","630208095","57255","32423","11006","9304578","1901646","33369856","true","false","English","pokimane"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/bd6ad02e-9bc7-4956-b62f-7277d9981109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TimTheTatman","2455055715","122610","81005","20022","7016611","1824419","52556506","true","true","English","TimTheTatman"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SypherPK","1092871065","158490","55898","6895","6345517","1795475","27975541","true","false","English","SypherPK"
