"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","Virtual Casino","1280889420","5671740","39439","57","3568","2438","11","103.29",""
"2","","Sports","1202893680","2175000","214244","7","4285","2289","4","-216.73",""
"3","","Lost Ark","1099350240","24762480","92879","1625","18817","2092","47","2.44",""
"4","","Slots","907201080","2567820","79670","27","2119","1726","5","142.03",""
"5","","FIFA 23","801682320","11732700","65783","352","19666","1525","22","68.33",""
"6","","Teamfight Tactics","679664640","4760220","-7350","-71","1551","1293","9","24.71",""
"7","","FIFA 22","635228100","23393820","16773","65","43492","1209","44","-51.25",""
"8","","ELDEN RING","516566340","23496960","62145","1125","26667","982","44","-73.67",""
"9","","Overwatch 2","461694360","19805880","45907","1074","40360","878","37","11.9",""
"10","","MIR 4","443111460","6653040","821","-30","-2273","843","12","14.85",""
