"","","Game","Change watch time (mins)","Change stream time (mins)","Change peak viewers","Change peak channels","Change streamers","Change average viewers","Change average channels","Change average viewer ratio",""
"1","","League of Legends","2322258120","31177260","-87963","261","20075","4419","59","-67.01",""
"2","","Just Chatting","1384307580","12662220","89746","641","12397","2634","24","109.33",""
"3","","IRL","1148744700","15383400","2722","40","11696","2185","30","-52.31",""
"4","","Lost Ark","865763280","13351140","41088","1160","9374","1647","26","3.59",""
"5","","Dead by Daylight","615151920","8152500","17984","-19","5884","1171","15","12.37",""
"6","","Monster Hunter: World","535629000","13934940","17638","377","9563","1019","26","-104.68",""
"7","","Games + Demos","443267400","2714100","10757","31","4865","843","5","-305.6",""
"8","","Tom Clancy's Rainbow Six Siege","375955500","11295000","10513","91","8766","715","22","13.27",""
"9","","Hearthstone","339163200","3483480","12766","69","4535","645","7","-105.55",""
"10","","World of Warcraft","295368300","6245700","3678","81","1408","562","12","1.31",""
