,Game,Hours Watch,Streamed Time,Peak of Viewers,Peak of Channel Stremings,Channels,Average of viewers,Avg of Channels,AVG Viewer/Ratio,Followers gained,Views gained
66,Teamfight Tactics,200665020,3661440,106508,582,11615,19907,363,54.8,58983,4695279
67,Bloons TD 6,15666960,734880,53024,145,3705,1554,72,21.32,57418,197815
68,Brawlhalla,14900520,1573860,21985,296,8189,1478,156,9.47,55933,416962
69,Outriders,283041660,17152500,116332,3179,34627,28079,1701,16.5,52043,5527097
70,Clash of Clans,13272180,323700,51910,76,1023,1316,32,41,50210,185430
71,Science & Technology,41472360,2817780,27406,406,4126,4114,279,14.72,49462,866906
72,Cuphead,6655500,432780,20114,86,2499,660,42,15.38,48394,131934
73,World of Tanks,83503260,2310960,31719,519,4299,8284,229,36.13,48059,1536067
74,League of Legends: Wild Rift,71093280,2647620,17705,527,6254,7052,262,26.85,46164,2652178
75,Jackbox Party Packs,13999140,783840,11351,288,4977,1388,77,17.86,46150,176320
76,Detroit: Become Human,34997580,343500,65115,71,1773,3471,34,101.89,44314,335126
77,Madden NFL 21,18726180,2723160,24279,681,10112,1857,270,6.88,44280,158574
78,Mario Kart 8,43946520,779280,46671,268,4044,4359,77,56.39,42768,810676
79,Mario Kart 8 Deluxe,58790280,402780,141392,154,2462,5832,39,145.96,41279,746901
80,F1 2020,22219800,1782600,10080,849,8715,2204,176,12.46,40714,573578
81,Travel & Outdoors,38161200,1277460,121461,172,1311,3785,126,29.87,40382,872140
82,The Sims 4,26443560,1516800,9189,261,6574,2623,150,17.43,40314,364419
83,Garry's Mod,4258500,366600,5236,85,1618,422,36,11.62,40272,77070
84,Clash Royale,27140400,534360,10713,93,1730,2692,53,50.79,40057,396773
85,The Binding of Isaac: Repentance,265290540,3034200,65590,560,8937,26318,301,87.43,39873,3090079
86,FRIDAY NIGHT FUNKIN',6991140,777240,10462,199,5907,693,77,8.99,38014,147483
87,Halo: The Master Chief Collection,17684100,1953540,7065,472,6162,1754,193,9.05,37564,167121
88,Monster Hunter Rise,118809720,6766200,31965,1082,14420,11786,671,17.56,37127,2665297
89,ASTRONEER,1206000,306840,525,60,949,119,30,3.93,35752,18306
90,NHL 21,8637120,455760,3456,163,3650,856,45,18.95,34909,462213
91,XCOM 2,32406540,238440,15429,48,568,3214,23,135.91,34577,219804
92,Cards,825720,3660,3733,3,22,81,0,225.61,33003,9291
93,Hearthstone,306060840,2995560,64788,477,7105,30363,297,102.17,32905,4822470
94,Growtopia,625740,82620,179,22,253,62,8,7.57,32816,16227
95,Uncharted 4: A Thief's End,1564800,128880,4202,27,703,155,12,12.14,32557,24795
96,ALTF4,53322840,277080,77201,72,2064,5289,27,192.45,32263,881502
97,Stardew Valley,24760200,2791920,7262,523,10652,2456,276,8.87,31264,342115
98,Super Smash Bros. Ultimate,43182720,2019900,54712,460,7000,4284,200,21.38,30261,1148504
99,MLB The Show 20,7813500,303300,2327,76,1511,775,30,25.76,29703,104622
100,Tibia,50852400,2585520,9164,461,3428,5044,256,19.67,29386,1555309
