Year,Game,Change watch time (mins),Change stream time (mins),Change average channels,Change average viewers,Language
2022.0,Apex Legends,1023898920.0,54814980.0,104.0,1949.0,Chinese
2022.0,ELDEN RING,616234500.0,16652700.0,31.0,1173.0,Chinese
2022.0,Overwatch 2,473598240.0,10798080.0,20.0,901.0,Chinese
2022.0,Teamfight Tactics,441073200.0,4986480.0,10.0,840.0,Chinese
2022.0,I'm Only Sleeping,330242940.0,5195880.0,10.0,628.0,Chinese
2022.0,Grand Theft Auto V,308062980.0,3322560.0,6.0,586.0,Chinese
2022.0,Sports,235785840.0,364560.0,0.0,449.0,Chinese
2022.0,VALORANT,219035580.0,17670540.0,34.0,417.0,Chinese
2022.0,Pokémon Scarlet/Violet,193147500.0,3252480.0,6.0,367.0,Chinese
2022.0,Lost Ark,10242291660.0,152137800.0,290.0,19489.0,English
2022.0,ELDEN RING,9933226560.0,496667400.0,945.0,18901.0,English
2022.0,Overwatch 2,8715853800.0,272788800.0,519.0,16585.0,English
2022.0,Slots,4433351940.0,6421800.0,12.0,8436.0,English
2022.0,Call of Duty: Modern Warfare II,4250674860.0,460675980.0,876.0,8088.0,English
2022.0,World of Warcraft,2596629540.0,104614200.0,199.0,4941.0,English
2022.0,VALORANT,2357499060.0,486150780.0,925.0,4486.0,English
2022.0,FIFA 23,2176618140.0,57510420.0,109.0,4141.0,English
2022.0,Counter-Strike: Global Offensive,1833225360.0,51355140.0,98.0,3488.0,English
2022.0,"Pools, Hot Tubs, and Beaches",1765974600.0,13799820.0,26.0,3360.0,English
2022.0,Just Chatting,2305632540.0,11118540.0,21.0,4388.0,Korean
2022.0,VALORANT,1491564360.0,27704040.0,52.0,2838.0,Korean
2022.0,ELDEN RING,1097680560.0,16327260.0,31.0,2089.0,Korean
2022.0,Overwatch 2,746379000.0,14358180.0,27.0,1420.0,Korean
2022.0,Yu-Gi-Oh! Master Duel,503913960.0,8286060.0,15.0,958.0,Korean
2022.0,VRChat,478003920.0,412440.0,0.0,910.0,Korean
2022.0,Vampire Survivors,437430180.0,3261600.0,6.0,832.0,Korean
2022.0,Mahjong Soul,432740880.0,2414520.0,5.0,824.0,Korean
2022.0,Umamusume: Pretty Derby,412948200.0,2591760.0,5.0,785.0,Korean
2022.0,Goose Goose Duck,387259920.0,4296000.0,8.0,737.0,Korean
2022.0,Virtual Casino,1280889420.0,5671740.0,11.0,2438.0,Portuguese
2022.0,Sports,1202893680.0,2175000.0,4.0,2289.0,Portuguese
2022.0,Lost Ark,1099350240.0,24762480.0,47.0,2092.0,Portuguese
2022.0,Slots,907201080.0,2567820.0,5.0,1726.0,Portuguese
2022.0,FIFA 23,801682320.0,11732700.0,22.0,1525.0,Portuguese
2022.0,Teamfight Tactics,679664640.0,4760220.0,9.0,1293.0,Portuguese
2022.0,FIFA 22,635228100.0,23393820.0,44.0,1209.0,Portuguese
2022.0,ELDEN RING,516566340.0,23496960.0,44.0,982.0,Portuguese
2022.0,Overwatch 2,461694360.0,19805880.0,37.0,878.0,Portuguese
2022.0,MIR 4,443111460.0,6653040.0,12.0,843.0,Portuguese
2022.0,League of Legends,3060.0,2700.0,0.0,0.0,Portuguese (Brazil)
2022.0,Tibia,1920.0,420.0,0.0,0.0,Portuguese (Brazil)
2022.0,CABAL Online,1680.0,240.0,0.0,0.0,Portuguese (Brazil)
2022.0,Music,1620.0,420.0,0.0,0.0,Portuguese (Brazil)
2022.0,Sports,1440.0,180.0,0.0,0.0,Portuguese (Brazil)
2022.0,VALORANT,1320.0,1140.0,0.0,0.0,Portuguese (Brazil)
2022.0,Counter-Strike: Global Offensive,1140.0,900.0,0.0,0.0,Portuguese (Brazil)
2022.0,World of Warcraft,960.0,600.0,0.0,0.0,Portuguese (Brazil)
2022.0,Just Chatting,960.0,960.0,0.0,0.0,Portuguese (Brazil)
2022.0,Fortnite,840.0,660.0,0.0,0.0,Portuguese (Brazil)
