Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2019,Fortnite,40589662500,1922522160,923058,12419,2414037,77234,3658,21.11,English
2019,League of Legends,25780353900,408476220,665339,3620,348008,49054,777,63.11,English
2019,World of Warcraft,17661939000,296047620,734727,8236,186544,33607,563,59.66,English
2019,Grand Theft Auto V,17031654900,142958220,247282,1138,304791,32407,272,119.14,English
2019,Just Chatting,16260569280,190816980,144647,1256,370096,30940,363,85.22,English
2019,Apex Legends,13402414500,686879880,576010,11041,959534,25502,1306,19.51,English
2019,Counter-Strike: Global Offensive,12069938040,156827880,567322,756,315185,22966,298,76.96,English
2019,Overwatch,11183875200,262254120,265127,1609,356908,21280,499,42.65,English
2019,Dota 2,11159663040,60363000,493656,248,57565,21234,114,184.88,English
2019,Hearthstone,7271805660,27590400,136347,437,46106,13836,52,263.56,English
2019,Call of Duty: Black Ops 4,4637038740,292290780,187397,2709,407897,8823,556,15.86,English
2019,PUBG: BATTLEGROUNDS,4531224660,159657600,152421,845,185181,8622,303,28.38,English
2019,Teamfight Tactics,4417011000,52303380,165960,1238,83445,8404,99,84.45,English
2019,Minecraft,4411014240,200919060,191958,1462,472843,8393,382,21.95,English
2019,Tom Clancy's Rainbow Six Siege,4090258140,238240920,162779,1417,494459,7782,453,17.17,English
2019,Path of Exile,3799845300,45951780,232585,1178,46270,7230,87,82.69,English
2019,Magic: The Gathering,3567858720,30906420,140135,308,36834,6788,58,115.44,English
2019,Destiny 2,3457969740,183272640,211758,3563,203397,6579,348,18.87,English
2019,Dead by Daylight,3418756980,140436840,50397,988,144816,6505,267,24.34,English
2019,Call of Duty: Warzone,3403812540,154891440,295643,12089,293149,6476,294,21.98,English
2019,Old School RuneScape,3303923700,54440160,87438,258,46578,6286,103,60.69,English
2019,Escape from Tarkov,3296681160,79342500,189466,634,48819,6272,150,41.55,English
2019,Super Smash Bros. Ultimate,2908123800,47648100,240986,605,49222,5533,90,61.03,English
2019,Slots,2737548660,9519780,50516,42,4623,5209,18,287.56,English
2019,Rocket League,2680946760,108608340,224576,543,219689,5101,206,24.68,English
2019,FIFA 19,2437144860,37256940,199053,518,115390,4637,70,65.41,English
2019,StarCraft II,2100754260,17362140,56242,82,18334,3997,33,121,English
2019,Sea of Thieves,2079844320,57173820,124839,1043,95259,3957,108,36.38,English
2019,Art,1930998180,99297660,22927,398,100803,3674,188,19.45,English
2019,Poker,1882534980,15296700,35641,86,9465,3582,29,123.07,English
2019,Super Mario Maker 2,1820915640,20055720,69959,788,17888,3464,38,90.79,English
2019,FIFA 20,1816737180,19065780,131828,480,48990,3456,36,95.29,English
2019,Music,1712553180,78038400,36235,263,53633,3258,148,21.95,English
2019,Special Events,1588257840,6441960,954702,2660,27529,3022,12,246.55,English
2019,Sekiro: Shadows Die Twice,1490145480,39970080,145134,3151,95233,2835,76,37.28,English
2019,The Elder Scrolls Online,1306947420,27571500,148821,231,35775,2486,52,47.4,English
2019,FINAL FANTASY XIV ONLINE,1296405900,80425380,130304,1683,53860,2466,153,16.12,English
2019,Pokémon Sword/Shield,1061101260,24801780,102095,2809,29268,2019,47,42.78,English
2019,NBA 2K19,1032850080,67372560,42582,511,143668,1965,128,15.33,English
2019,Resident Evil 2,1028727720,34753980,144215,3336,97651,1957,66,29.6,English
2019,SMITE,1013913600,43667400,41745,250,56004,1929,83,23.22,English
2019,Rust,980396400,37196760,31371,224,59093,1865,70,26.36,English
2019,Borderlands 3,978208980,38523420,303452,5833,72517,1861,73,25.39,English
2019,Dungeons & Dragons,969941160,17322060,68048,176,13872,1845,32,55.99,English
2019,Mortal Kombat 11,961716120,20008080,155112,2032,57556,1829,38,48.07,English
2019,Chess,959441280,6962400,35492,43,6327,1825,13,137.8,English
2019,Tom Clancy's The Division 2,937247940,55615620,101706,2167,108353,1783,105,16.85,English
2019,Talk Shows & Podcasts,930694380,15435600,274506,259,31285,1770,29,60.3,English
2019,Auto Chess,897532320,6245880,36490,104,10214,1707,11,143.7,English
2019,World of Tanks,858950640,14975880,30486,77,15813,1634,28,57.36,English
2019,Warframe,849355860,37566240,413877,209,64154,1616,71,22.61,English
2019,DayZ,776020620,27315780,47509,182,38923,1476,51,28.41,English
2019,Retro,752803860,31067160,82055,155,17316,1432,59,24.23,English
2019,World of Warships,743348460,13079580,14450,74,12532,1414,24,56.83,English
2019,Warcraft III,739435680,6422940,34904,38,6095,1407,12,115.12,English
2019,Atlas,733135500,15082020,34566,331,10145,1395,28,48.61,English
2019,Tekken 7,724403400,15497280,206446,142,25853,1378,29,46.74,English
2019,ASMR,715471560,9921840,19821,51,6718,1361,18,72.11,English
2019,Street Fighter V,707821260,9771840,162032,102,12475,1346,18,72.43,English
2019,NBA 2K20,707114340,36709860,47047,2599,60987,1345,69,19.26,English
2019,Monster Hunter: World,701782980,41132880,34235,631,73895,1335,78,17.06,English
2019,Dota Underlords,645861120,7221660,43046,240,15480,1228,13,89.43,English
2019,Black Desert,643322760,25413540,24929,123,22340,1224,48,25.31,English
2019,Heroes of the Storm,610817160,15989520,21082,99,18902,1162,30,38.2,English
2019,Anthem,609065040,20677500,204318,1717,54871,1158,39,29.46,English
2019,Death Stranding,605791920,13214280,158467,1457,25267,1152,25,45.84,English
2019,Always On,601503660,2312940,25011,12,84,1144,4,260.06,English
2019,Diablo III,600942360,24121920,26131,821,43773,1143,45,24.91,English
2019,Dark Souls,582664920,12499560,145500,87,22348,1108,23,46.61,English
2019,Red Dead Redemption 2,575943420,42103500,90975,634,107950,1095,80,13.68,English
2019,Dark Souls III,567017400,23947620,245715,150,56270,1078,45,23.68,English
2019,Super Smash Bros. Melee,553749900,5503380,162752,45,8279,1053,10,100.62,English
2019,Madden NFL 20,553183440,32423220,119727,787,53237,1052,61,17.06,English
2019,Science & Technology,533534400,28401180,15354,115,27465,1015,54,18.79,English
2019,VRChat,532346640,25384260,17002,224,24297,1012,48,20.97,English
2019,Borderlands 2,488245860,23305140,153051,520,68651,929,44,20.95,English
2019,Halo: The Master Chief Collection,478909740,23086080,120355,2415,57033,911,43,20.74,English
2019,The Legend of Zelda: Ocarina of Time,471989100,12242760,146382,109,10046,898,23,38.55,English
2019,Marbles on Stream,459030900,12131460,30575,88,15710,873,23,37.84,English
2019,Star Wars Jedi: Fallen Order,457071240,14713020,130482,1902,48661,869,27,31.07,English
2019,Slay the Spire,435865380,6807780,25621,76,18012,829,12,64.02,English
2019,osu!,420135060,37735020,19580,143,69723,799,71,11.13,English
2019,Battlefield V,419644740,32700300,101683,952,91245,798,62,12.83,English
2019,Jump King,412614840,913440,70853,48,4719,785,1,451.72,English
2019,Kingdom Hearts III,411707700,16023420,108644,3162,27715,783,30,25.69,English
2019,Super Mario 64,408900120,7400580,47706,48,8500,778,14,55.25,English
2019,7 Days to Die,404949540,21824100,27392,209,28183,770,41,18.56,English
2019,MORDHAU,395716020,10299480,53313,389,31065,752,19,38.42,English
2019,They Are Billions,394048440,3128160,32389,61,4943,749,5,125.97,English
2019,Super Mario Maker,385215060,3949440,16782,86,2587,732,7,97.54,English
2019,The Sims 4,380294700,21558540,21083,140,45968,723,41,17.64,English
2019,Dragon Ball FighterZ,375343920,9182040,94434,113,25917,714,17,40.88,English
2019,ARK: Survival Evolved,363423060,26895900,25377,185,43922,691,51,13.51,English
2019,RuneScape,357963120,15816300,25089,92,19495,681,30,22.63,English
2019,Star Citizen,338725260,9005160,35897,95,8679,644,17,37.61,English
2019,Games + Demos,321129120,7115520,204607,48,21303,611,13,45.13,English
2019,Legends of Runeterra,321060960,1577280,188837,286,5859,610,3,203.55,English
2019,Age of Empires II,320752020,3679260,18412,23,5443,610,7,87.18,English
2019,Risk of Rain 2,320528220,15599280,45579,582,49411,609,29,20.55,English
2019,The Legend of Zelda: Breath of the Wild,315085560,13297320,122389,114,17409,599,25,23.7,English
