Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2020,League of Legends,12197516700,127179660,416903,870,73208,23146,241,95.91,Korean
2020,Just Chatting,10036637700,158599020,188866,2195,67367,19045,300,63.28,Korean
2020,Hearthstone,2181017880,7455720,48775,60,5999,4138,14,292.53,Korean
2020,Minecraft,1669089240,25206420,108020,231,24654,3167,47,66.22,Korean
2020,Dead by Daylight,1637409900,19224240,55099,158,12531,3107,36,85.17,Korean
2020,World of Warcraft,1487451780,28705740,42283,266,5115,2822,54,51.82,Korean
2020,Overwatch,1354949820,42173040,120039,278,28201,2571,80,32.13,Korean
2020,Teamfight Tactics,1195773060,13492200,40529,172,15270,2269,25,88.63,Korean
2020,MapleStory,1048974240,20456760,27539,271,16643,1990,38,51.28,Korean
2020,PUBG: BATTLEGROUNDS,978173340,46794840,30186,403,29404,1856,88,20.9,Korean
2020,VALORANT,949991220,33370380,57233,601,23561,1802,63,28.47,Korean
2020,Games + Demos,846361920,7030620,57725,125,12537,1606,13,120.38,Korean
2020,Lost Ark,832523760,9242700,45767,144,4424,1579,17,90.07,Korean
2020,Eternal Return,820158480,9437700,80161,344,10840,1556,17,86.9,Korean
2020,Escape from Tarkov,730977180,12409140,28300,138,4371,1387,23,58.91,Korean
2020,Animal Crossing: New Horizons,617263680,5345520,76376,281,3546,1171,10,115.47,Korean
2020,Tom Clancy's Rainbow Six Siege,514423680,22374600,23370,219,16487,976,42,22.99,Korean
2020,Monster Hunter: World,511151400,20960340,15220,258,10198,969,39,24.39,Korean
2020,Among Us,461273460,7061760,71424,207,17508,875,13,65.32,Korean
2020,Super Mario Maker 2,448826340,1564020,25689,21,851,851,2,286.97,Korean
2020,Art,426964440,21042060,12167,136,10482,810,39,20.29,Korean
2020,Black Desert,404057880,8168880,10351,53,1982,766,15,49.46,Korean
2020,Spelunky 2,393456840,381360,42173,42,447,746,0,1031.72,Korean
2020,Korean Baseball League,384574320,520680,45114,51,323,729,0,738.6,Korean
2020,StarCraft II,367606920,4557660,27938,38,3373,697,8,80.66,Korean
2020,Fall Guys,335538420,2385960,71406,204,8550,636,4,140.63,Korean
2020,Path of Exile,331199280,6535080,4974,90,1657,628,12,50.68,Korean
2020,Apex Legends,311080800,11522880,17319,140,7172,590,21,27,Korean
2020,StarCraft,308372040,2343300,72335,28,3282,585,4,131.6,Korean
2020,Food & Drink,297619800,994440,37828,27,3935,564,1,299.28,Korean
2020,Talk Shows & Podcasts,291686160,742260,45182,16,2478,553,1,392.97,Korean
2020,Warcraft III,279007500,2961240,30079,58,1882,529,5,94.22,Korean
2020,Cyberpunk 2077,258806400,2144760,145791,711,3903,491,4,120.67,Korean
2020,Tekken 7,253310100,7330680,16262,60,4149,480,13,34.55,Korean
2020,Kartrider,230878740,8979600,21932,63,10721,438,17,25.71,Korean
2020,Music,215050500,3976260,23157,69,8381,408,7,54.08,Korean
2020,Rust,211820580,3554760,25719,125,2202,401,6,59.59,Korean
2020,Jump King,201270840,945360,17243,35,2806,381,1,212.9,Korean
2020,Call of Duty: Warzone,198670440,8274720,39842,298,8556,376,15,24.01,Korean
2020,Dungeon Fighter Online,188082180,6619680,20402,62,2827,356,12,28.41,Korean
2020,Grand Theft Auto V,186303840,10604040,15578,173,11402,353,20,17.57,Korean
2020,Lineage: The Blood Pledge,184507740,3624480,5174,18,123,350,6,50.91,Korean
2020,FIFA 21,171817500,697020,29824,34,588,326,1,246.5,Korean
2020,Epic Seven,169268340,1586040,18238,19,445,321,3,106.72,Korean
2020,The Long Dark,159354840,893460,9634,22,1015,302,1,178.36,Korean
2020,Genshin Impact,159152580,4227000,18692,221,4278,302,8,37.65,Korean
2020,Pokémon Sword/Shield,148354620,2614980,18846,82,1311,281,4,56.73,Korean
2020,Assassin's Creed Valhalla,134241420,817680,53744,110,797,254,1,164.17,Korean
2020,Yakuza,134205060,673080,26992,45,428,254,1,199.39,Korean
2020,Heroes of the Storm,133775400,4998600,10847,36,2743,253,9,26.76,Korean
2020,Kingdom Come: Deliverance,129478740,308640,22939,23,474,245,0,419.51,Korean
2020,Street Fighter V,127901400,1458540,11344,22,544,242,2,87.69,Korean
2020,VRChat,125423880,3514920,28604,72,3921,238,6,35.68,Korean
2020,DRAGON BALL Z: KAKAROT,120901920,539040,29687,75,696,229,1,224.29,Korean
2020,Football Manager 2020,120593400,724200,23480,14,638,228,1,166.52,Korean
2020,The Last of Us Part II,118072860,910080,64594,275,1218,224,1,129.74,Korean
