Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2020,League of Legends,12054628380,240079200,288938,1490,167231,22874,455,50.21,Portuguese
2020,Counter-Strike: Global Offensive,9900640080,94035120,396028,713,117766,18787,178,105.29,Portuguese
2020,Just Chatting,6704472900,79245060,200295,701,118201,12722,150,84.6,Portuguese
2020,Grand Theft Auto V,5148113340,61086240,130704,526,68755,9769,115,84.28,Portuguese
2020,VALORANT,4901862600,109223700,295877,3241,129283,9301,207,44.88,Portuguese
2020,Fortnite,4127172720,94626480,105297,2149,145241,7831,179,43.62,Portuguese
2020,Garena Free Fire,3324698160,20806380,297990,169,45149,6308,39,159.79,Portuguese
2020,Call of Duty: Warzone,2541669660,54275580,91718,574,86643,4823,102,46.83,Portuguese
2020,Among Us,2185880460,19739220,263903,1478,72108,4147,37,110.74,Portuguese
2020,Tibia,1875075420,42236880,16043,217,13087,3558,80,44.39,Portuguese
2020,Dota 2,1070340120,13407420,38311,84,8786,2031,25,79.83,Portuguese
2020,FIFA 21,980964180,7102020,72700,178,11258,1861,13,138.12,Portuguese
2020,Tom Clancy's Rainbow Six Siege,977833020,25722000,67981,191,47287,1855,48,38.02,Portuguese
2020,Minecraft,943671000,31365720,56923,216,79337,1790,59,30.09,Portuguese
2020,FIFA 20,942433860,10491960,21171,114,18196,1788,19,89.82,Portuguese
2020,Dead by Daylight,783423060,32031060,34983,293,29768,1486,60,24.46,Portuguese
2020,Fall Guys,736563000,12993960,92623,581,44939,1397,24,56.69,Portuguese
2020,Teamfight Tactics,666397080,13735680,22030,192,23827,1264,26,48.52,Portuguese
2020,Conan Exiles,603838860,4101780,37249,64,2617,1145,7,147.21,Portuguese
2020,World of Warcraft,500263980,15812640,29373,692,10654,949,30,31.64,Portuguese
2020,PUBG: BATTLEGROUNDS,489002040,23990100,17983,231,32211,927,45,20.38,Portuguese
2020,Tabletop RPGs,438557280,1529640,103749,40,2316,832,2,286.71,Portuguese
2020,Genshin Impact,407583300,12204300,27575,747,24741,773,23,33.4,Portuguese
2020,Sea of Thieves,380375340,6950100,38993,105,15919,721,13,54.73,Portuguese
2020,Rocket League,365987820,16586400,45892,368,59110,694,31,22.07,Portuguese
2020,Phasmophobia,325329660,7260780,60462,419,18247,617,13,44.81,Portuguese
2020,Cyberpunk 2077,319783560,4852260,226209,2966,15314,606,9,65.9,Portuguese
2020,Black Desert,300121080,9038700,7435,58,5686,569,17,33.2,Portuguese
2020,Saint Seiya: Awakening,282762540,2883420,8848,36,1349,536,5,98.06,Portuguese
2020,Music,270072600,3956340,79440,56,6443,512,7,68.26,Portuguese
2020,Poker,259635420,2479920,10093,26,1878,492,4,104.7,Portuguese
2020,Escape from Tarkov,253442760,8675400,23260,87,3912,480,16,29.21,Portuguese
2020,Talk Shows & Podcasts,240987060,1732800,60782,32,3386,457,3,139.07,Portuguese
2020,Apex Legends,221454660,17489580,47652,241,27606,420,33,12.66,Portuguese
2020,The Last of Us Part II,201714540,2565540,89809,412,4714,382,4,78.62,Portuguese
2020,Special Events,195888060,483420,319174,985,3294,371,0,405.21,Portuguese
2020,Call of Duty: Black Ops Cold War,167384580,2309160,88046,180,7048,317,4,72.49,Portuguese
2020,Path of Exile,162402000,4766880,10255,149,4898,308,9,34.07,Portuguese
2020,Overwatch,155937480,8854200,17599,96,15995,295,16,17.61,Portuguese
2020,New World,153738120,1389000,97097,520,3238,291,2,110.68,Portuguese
2020,Art,151529940,9524760,10251,85,11255,287,18,15.91,Portuguese
2020,Legends of Runeterra,141097320,3125280,11225,143,7339,267,5,45.15,Portuguese
2020,ARK: Survival Evolved,140796000,4614120,9403,70,7679,267,8,30.51,Portuguese
2020,Motorsport Manager,136966980,299280,38324,31,861,259,0,457.65,Portuguese
2020,Summoners War: Sky Arena,136707780,1890960,2887,18,794,259,3,72.3,Portuguese
2020,Magic: The Gathering,125002080,2634180,5011,35,2563,237,4,47.45,Portuguese
2020,Pummel Party,116396100,1031640,25165,62,5403,220,1,112.83,Portuguese
2020,Paladins,113893740,5576940,3906,49,13431,216,10,20.42,Portuguese
2020,Last Oasis,110663280,519120,26473,51,508,209,0,213.17,Portuguese
2020,Ragnarok Online,104910840,4150800,3856,32,2639,199,7,25.27,Portuguese
2020,Ghost of Tsushima,104563440,1188960,47567,149,2653,198,2,87.95,Portuguese
2020,Albion Online,103051500,3901380,2220,30,3958,195,7,26.41,Portuguese
2020,Hearthstone,102813660,2952660,6362,38,4019,195,5,34.82,Portuguese
2020,Rust,99002580,3616560,10684,35,4098,187,6,27.37,Portuguese
2020,Raft,98442840,1123500,41138,56,4920,186,2,87.62,Portuguese
2020,Retro,96091500,4193400,6229,40,3158,182,7,22.91,Portuguese
2020,Tabletop Simulator,95599560,223020,39289,19,1176,181,0,428.66,Portuguese
2020,Shadow Arena,95454540,393060,25911,83,1652,181,0,242.85,Portuguese
