Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2019,Borderlands 3,49497780,880260,16877,102,920,94,1,56.23,Korean
2019,Destiny 2,46392060,4589640,2582,88,3123,88,8,10.11,Korean
2019,The Elder Scrolls V: Skyrim,46291320,918600,12697,13,670,88,1,50.39,Korean
2019,FIFA 19,46132440,663180,12588,19,796,87,1,69.56,Korean
2019,Epic Seven,45500280,642180,11174,15,252,86,1,70.85,Korean
2019,Fortnite,45415200,3059760,5809,62,1979,86,5,14.84,Korean
2019,Sid Meier's Civilization VI,44170560,640860,8199,19,843,84,1,68.92,Korean
2019,Puyo Puyo Tetris,43793100,1508160,12911,20,2357,83,2,29.04,Korean
2019,Kageroh: Shadow Corridor,43429200,340200,21108,23,1208,82,0,127.66,Korean
2019,Planet Zoo,43338060,227880,18799,30,406,82,0,190.18,Korean
2019,FINAL FANTASY XIV ONLINE,42909900,4101000,4855,73,1417,81,7,10.46,Korean
2019,They Are Billions,40745100,503700,14622,16,399,77,0,80.89,Korean
2019,Miracle Snack Shop,40267440,368520,30692,38,1571,76,0,109.27,Korean
2019,NBA 2K20,39222900,117540,21125,11,128,74,0,333.7,Korean
2019,RimWorld,38531580,592740,3920,10,423,73,1,65.01,Korean
2019,Days Gone,38032620,311700,31046,52,369,72,0,122.02,Korean
2019,Counter-Strike: Global Offensive,36867180,2225160,16497,22,2949,70,4,16.57,Korean
2019,Otaku's Adventure,36821160,111540,22550,24,462,70,0,330.12,Korean
2019,Yakuza 4,36578640,89640,24400,21,115,69,0,408.06,Korean
2019,Clop,34910640,75060,17310,16,736,66,0,465.1,Korean
2019,Anno 1800,34813080,307740,23945,49,496,66,0,113.12,Korean
2019,Totally Accurate Battle Simulator,34477260,44280,22311,9,418,65,0,778.62,Korean
2019,Diablo III,34217460,1561860,6016,45,1508,65,2,21.91,Korean
2019,Langrisser Mobile,34089540,1057500,14939,25,371,64,2,32.24,Korean
2019,GetAmped,33024840,179460,15314,11,558,62,0,184.02,Korean
2019,Special Events,32880420,49740,34763,41,380,62,0,661.05,Korean
