Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2018,League of Legends,5213053980,47540640,135028,387,33193,9919,90,109.65,Korean
2018,IRL,3069607680,26936400,75647,248,19316,5840,51,113.96,Korean
2018,PUBG: BATTLEGROUNDS,3059391180,79976340,81202,488,37985,5821,152,38.25,Korean
2018,Hearthstone,2806629600,9760260,46140,143,10374,5340,18,287.56,Korean
2018,Overwatch,1909236480,27129600,76231,197,20805,3632,51,70.37,Korean
2018,Just Chatting,1384307580,12662220,89746,641,12397,2634,24,109.33,Korean
2018,Lost Ark,884929800,13664460,55198,1285,9779,1683,26,64.76,Korean
2018,Dead by Daylight,782264880,10995780,42065,148,7842,1488,20,71.14,Korean
2018,World of Warcraft,670959780,14743680,20407,151,3570,1276,28,45.51,Korean
2018,Games + Demos,646214400,3109380,31936,43,5874,1229,5,207.83,Korean
2018,Monster Hunter: World,548942520,14027520,36423,475,9563,1044,26,39.13,Korean
2018,Heroes of the Storm,530435460,9310320,22310,82,6534,1009,17,56.97,Korean
2018,Black Desert,470368020,6715320,12799,44,2210,895,12,70.04,Korean
2018,Tom Clancy's Rainbow Six Siege,409664760,13190220,17321,120,10584,779,25,31.06,Korean
2018,StarCraft II,387847620,4105800,27495,33,3298,737,7,94.46,Korean
2018,Minecraft,318050100,2823720,28597,44,4085,605,5,112.64,Korean
2018,Tekken 7,264866220,4745340,10077,53,3263,503,9,55.82,Korean
2018,StarCraft,264067380,1972140,44758,30,2988,502,3,133.9,Korean
2018,Talk Shows & Podcasts,246231540,628740,35334,26,3082,468,1,391.63,Korean
2018,Fortnite,235083480,9612420,22009,119,6108,447,18,24.46,Korean
2018,Slay the Spire,189693720,1822920,24706,57,3078,360,3,104.06,Korean
2018,Rust,177847260,1196880,35013,77,1039,338,2,148.59,Korean
2018,FIFA 19,174913740,538080,33692,24,562,332,1,325.07,Korean
2018,MapleStory,162491160,4760400,19980,85,5572,309,9,34.13,Korean
2018,Street Fighter V,159640620,1062540,14931,15,546,303,2,150.24,Korean
2018,Red Dead Redemption 2,158625960,1328760,51559,183,1513,301,2,119.38,Korean
2018,Creative,146664540,5744820,9248,54,3186,279,10,25.53,Korean
2018,Call of Duty: Black Ops 4,127109940,2511240,39666,223,3418,241,4,50.62,Korean
2018,Dungreed,125995500,836760,24491,61,3046,239,1,150.58,Korean
2018,God of War,115786860,978000,44222,172,1382,220,1,118.39,Korean
2018,"Pokémon: Let's Go, Pikachu!",111701220,288780,34709,40,410,212,0,386.8,Korean
2018,Warcraft III,111673140,1061100,14356,14,726,212,2,105.24,Korean
2018,Assassin's Creed Odyssey,110582100,1072800,29629,91,941,210,2,103.08,Korean
2018,Grand Theft Auto V,109248540,2935920,18933,51,3791,207,5,37.21,Korean
2018,Friends Marble,100729800,204360,39742,19,638,191,0,492.9,Korean
2018,They Are Billions,98253360,699300,16372,27,734,186,1,140.5,Korean
