Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2018,Fortnite,57452902740,2493400380,1167839,12546,3270675,109321,4744,23.04,English
2018,League of Legends,25525130100,346240920,766344,2171,331747,48569,658,73.72,English
2018,Overwatch,12522482580,327075780,442223,2050,505976,23827,622,38.29,English
2018,Counter-Strike: Global Offensive,11762263260,147262320,1068842,865,304834,22381,280,79.87,English
2018,Dota 2,10834651320,64660500,415740,285,61076,20616,123,167.56,English
2018,World of Warcraft,10821228720,229153740,386857,6010,172913,20590,436,47.22,English
2018,Hearthstone,10215837720,38826000,194888,720,77846,19438,73,263.12,English
2018,PUBG: BATTLEGROUNDS,10010213640,330502680,402263,3427,467285,19047,628,30.29,English
2018,IRL,7883637900,97219380,205738,776,284652,15001,184,81.09,English
2018,Call of Duty: Black Ops 4,6422336340,238609200,474050,15825,463793,12220,454,26.92,English
2018,Tom Clancy's Rainbow Six Siege,4179715320,208605780,225048,1555,502090,7953,396,20.04,English
2018,Destiny 2,3406116540,188439720,170836,4327,256219,6481,358,18.08,English
2018,Path of Exile,3061323480,44216100,95741,1175,42623,5825,84,69.24,English
2018,Just Chatting,3034530120,29642160,130415,564,95159,5774,56,102.37,English
2018,Dead by Daylight,2885268180,112459380,131578,954,156105,5490,213,25.66,English
2018,Magic: The Gathering,2565231300,22725060,51544,258,28665,4881,43,112.88,English
2018,Grand Theft Auto V,2417666220,82017540,41265,607,256928,4600,156,29.48,English
2018,Rocket League,2397500400,91441800,172269,510,228851,4561,173,26.22,English
2018,Heroes of the Storm,2306620560,33734700,56554,210,43659,4389,64,68.38,English
2018,StarCraft II,2222099040,18525780,120054,83,23254,4228,35,119.95,English
2018,Warframe,2139386520,53163600,398628,441,100237,4070,101,40.24,English
2018,Escape from Tarkov,1956974460,50114760,53312,460,39275,3723,95,39.05,English
2018,RuneScape,1953628740,38720940,72596,194,40570,3717,73,50.45,English
2018,Poker,1930352460,11167560,35118,69,8373,3673,21,172.85,English
2018,Always On,1911427860,5306580,51612,15,175,3637,10,360.2,English
2018,Sea of Thieves,1884313080,45174480,163888,2724,96648,3585,85,41.71,English
2018,Monster Hunter: World,1573700160,95858940,81522,3483,179062,2994,182,16.42,English
2018,FIFA 19,1546226580,21926640,141513,953,82469,2942,41,70.52,English
2018,Old School RuneScape,1487523780,24695040,101738,196,31544,2830,46,60.24,English
2018,Creative,1458318840,83292840,53729,442,101800,2774,158,17.51,English
2018,Minecraft,1403209260,68715120,58208,322,193363,2670,130,20.42,English
2018,Talk Shows & Podcasts,1402350000,11385900,299732,251,30715,2668,21,123.17,English
2018,Casino,1380300480,2125860,63642,45,1638,2626,4,649.29,English
2018,Call of Duty: WWII,1288282440,63887820,149601,676,221033,2451,121,20.16,English
2018,Music,1238780460,54076500,47603,218,46455,2357,102,22.91,English
2018,Super Smash Bros. Ultimate,1205072640,13491480,210073,2965,27061,2293,25,89.32,English
2018,SMITE,1204901340,45239640,90553,305,67245,2292,86,26.63,English
2018,Red Dead Redemption 2,1195342560,56616180,174351,6610,162760,2274,107,21.11,English
2018,Slay the Spire,1091017140,11428800,45546,129,24665,2075,21,95.46,English
2018,FIFA 18,1073685480,26750520,112471,516,112163,2043,50,40.14,English
2018,Realm Royale Reforged,1067814660,24877860,176019,1298,74080,2031,47,42.92,English
2018,Street Fighter V,1060715280,11901720,187869,193,18865,2018,22,89.12,English
2018,Casino_old,987215520,3612900,43731,31,2364,1878,6,273.25,English
2018,Dragon Ball FighterZ,967177020,17962980,238014,970,61609,1840,34,53.84,English
2018,VRChat,926929560,28451400,47131,201,31676,1763,54,32.58,English
2018,E3 2018,879034500,1862280,1148734,2924,8456,1672,3,472.02,English
2018,God of War,873317940,38440560,184343,3504,100161,1661,73,22.72,English
2018,World of Tanks,833849220,16050660,41344,93,20642,1586,30,51.95,English
2018,Dark Souls,816683340,16919100,91244,489,32062,1553,32,48.27,English
2018,Rust,769473240,27208140,41348,205,46500,1464,51,28.28,English
2018,Atlas,764900040,4104600,227164,978,8619,1455,7,186.35,English
2018,Black Desert,754447860,28020240,12837,156,27050,1435,53,26.93,English
2018,Dungeons & Dragons,711381660,11478360,96205,150,11004,1353,21,61.98,English
2018,Warcraft III,700289520,5665860,38171,31,5030,1332,10,123.6,English
2018,Super Smash Bros. Melee,694097280,6930360,178633,51,11852,1320,13,100.15,English
2018,Tekken 7,691587780,13220820,174919,163,27832,1315,25,52.31,English
2018,Chess,691532040,5560680,124118,42,5106,1315,10,124.36,English
2018,Battlefield V,674338500,17709600,283456,796,62310,1283,33,38.08,English
2018,Dark Souls III,670778040,28780740,78586,152,78385,1276,54,23.31,English
2018,ARK: Survival Evolved,651280920,37880160,35865,380,65856,1239,72,17.19,English
2018,NBA 2K19,648160980,39271260,42913,1673,89114,1233,74,16.5,English
2018,Gwent: The Witcher Card Game,625080600,4465260,44021,47,5840,1189,8,139.99,English
2018,The Elder Scrolls Online,619765500,22442400,58247,151,37976,1179,42,27.62,English
2018,Fallout 76,610211880,22269120,132428,2346,57573,1161,42,27.4,English
2018,Super Mario Maker,596057100,4902600,151740,33,2688,1134,9,121.58,English
2018,"Pokémon: Let's Go, Pikachu!",583676220,8782080,67676,740,15338,1110,16,66.46,English
2018,Diablo III,578005320,24922020,21006,861,51820,1099,47,23.19,English
2018,They Are Billions,570777420,5748300,82297,189,11904,1086,10,99.29,English
2018,NBA 2K18,548707800,37688280,62968,1072,97006,1044,71,14.56,English
2018,Art,524892000,20346000,27623,310,33628,998,38,25.8,English
2018,Retro,523872720,23901180,28727,138,15022,996,45,21.92,English
2018,DayZ,518970540,11641080,76503,147,18648,987,22,44.58,English
2018,FINAL FANTASY XIV ONLINE,517335480,42680820,55677,584,32131,984,81,12.12,English
2018,Far Cry 5,511015800,25814400,148290,2235,96251,972,49,19.8,English
2018,The Elder Scrolls: Legends,499802220,4166220,44060,30,3497,951,7,119.97,English
2018,Marvel's Spider-Man,494848980,24864720,139768,3370,94066,941,47,19.9,English
2018,Subnautica,481254240,15324000,56166,346,43915,915,29,31.41,English
2018,Z1: Battle Royale,479609340,21403440,135683,404,52010,912,40,22.41,English
2018,The Legend of Zelda: Ocarina of Time,467343060,8559720,142336,100,8304,889,16,54.6,English
2018,Pokémon Ultra Sun/Ultra Moon,450096480,12340140,24349,94,9364,856,23,36.47,English
2018,Assassin's Creed Odyssey,440150880,14769300,66542,707,33510,837,28,29.8,English
2018,Bloodborne,438631620,17904000,198887,255,59097,834,34,24.5,English
2018,Super Smash Bros. for Wii U,435494220,7208760,47121,179,8290,828,13,60.41,English
2018,The Legend of Zelda: A Link to the Past,412754100,12725400,160642,118,8579,785,24,32.44,English
2018,Kingdom Come: Deliverance,410943420,7342620,108858,521,19619,781,13,55.97,English
2018,Hunt: Showdown,407141700,10101540,138038,213,22092,774,19,40.3,English
2018,Detroit: Become Human,403054980,10009740,120201,743,31084,766,19,40.27,English
2018,SCUM,395300100,9135300,160051,1018,21137,752,17,43.27,English
2018,Welcome to the Game II,389600460,1208880,83994,80,5637,741,2,322.28,English
2018,Darkest Dungeon,386617020,7107360,25949,108,16897,735,13,54.4,English
2018,osu!,379842720,33584880,24417,138,67039,722,63,11.31,English
2018,No Man's Sky,379007880,13731120,83275,695,38824,721,26,27.6,English
2018,Doctor Who Pinball,367299000,91680,22388,5,42,698,0,4006.32,English
2018,The Elder Scrolls V: Skyrim,364542240,24293280,180723,122,68644,693,46,15.01,English
2018,Jurassic World Evolution,361994580,6417000,137916,763,17833,688,12,56.41,English
2018,Madden NFL 19,359265480,31497240,27974,1216,64227,683,59,11.41,English
2018,RimWorld,346357560,9229020,16131,77,12701,659,17,37.53,English
2018,For Honor,345143700,17320140,39324,155,52009,656,32,19.93,English
2018,Age of Empires II,341727360,3881460,39173,23,6268,650,7,88.04,English
2018,Ring of Elysium,325778580,19768260,50898,558,47982,619,37,16.48,English
