Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2022,Grand Theft Auto V,14686580760,183944700,383225,1407,121138,27945,350,79.84,Portuguese
2022,Counter-Strike: Global Offensive,11843200440,96877620,681560,706,90294,22535,184,122.25,Portuguese
2022,Just Chatting,9506146140,125553180,271458,689,151561,18088,238,75.71,Portuguese
2022,League of Legends,8110037640,232053780,251908,1723,132281,15431,441,34.95,Portuguese
2022,VALORANT,5972907420,234255540,306207,1678,151358,11365,445,25.5,Portuguese
2022,Sports,2910200580,3973980,356128,76,8102,5537,7,732.31,Portuguese
2022,Fortnite,1546389420,113552700,74044,2962,152542,2942,216,13.62,Portuguese
2022,Teamfight Tactics,1314203820,18804720,24870,197,23862,2500,35,69.89,Portuguese
2022,Virtual Casino,1297701300,5811840,48690,64,3875,2469,11,223.29,Portuguese
2022,FIFA 22,1284244740,30328320,84630,267,55554,2443,57,42.34,Portuguese
2022,Tibia,1240042560,56982060,12764,305,12043,2359,108,21.76,Portuguese
2022,Lost Ark,1154244180,26074800,111867,1786,20454,2196,49,44.27,Portuguese
2022,Slots,1106683260,4276500,103258,46,3439,2105,8,258.78,Portuguese
2022,Call of Duty: Warzone,943969740,67257180,73500,840,53020,1796,127,14.04,Portuguese
2022,Dota 2,943836000,18871800,17774,110,7438,1795,35,50.01,Portuguese
2022,Tom Clancy's Rainbow Six Siege,842989860,24471180,68476,226,34341,1604,46,34.45,Portuguese
2022,FIFA 23,801682320,11732700,65783,352,19666,1525,22,68.33,Portuguese
2022,Garena Free Fire,793438560,32311860,183778,256,128796,1509,61,24.56,Portuguese
2022,MIR 4,727993140,15649500,15077,160,6796,1385,29,46.52,Portuguese
2022,Minecraft,591288540,46611120,32207,304,102610,1125,88,12.69,Portuguese
2022,League of Legends: Wild Rift,588010560,21131460,18446,130,39863,1118,40,27.83,Portuguese
2022,Genshin Impact,587508240,31465620,21934,495,24807,1117,59,18.67,Portuguese
2022,PUBG: BATTLEGROUNDS,567066600,42208680,30265,346,31824,1079,80,13.43,Portuguese
2022,Tabletop RPGs,554900400,3343260,288506,59,2457,1055,6,165.98,Portuguese
2022,Dead by Daylight,521905980,41619120,14273,345,32208,993,79,12.54,Portuguese
2022,ELDEN RING,518179980,23513820,63708,1143,26749,985,44,22.04,Portuguese
2022,Overwatch 2,461714220,19807620,45927,1076,40422,878,37,23.31,Portuguese
2022,Crypto,449300820,5982480,25530,69,3326,854,11,75.1,Portuguese
2022,Rocket League,447298620,17313840,51298,135,40127,851,32,25.83,Portuguese
2022,Project Zomboid,425015040,6585660,39767,87,7736,808,12,64.54,Portuguese
2022,New World,355302000,11110020,50033,373,7110,676,21,31.98,Portuguese
2022,Escape from Tarkov,337991100,10905660,12792,136,3926,643,20,30.99,Portuguese
2022,World of Warcraft,290544780,14836560,13860,408,6581,552,28,19.58,Portuguese
2022,Red Dead Redemption 2,276896580,13082580,93406,150,21636,526,24,21.17,Portuguese
2022,Albion Online,255220920,4948620,4261,45,3398,485,9,51.57,Portuguese
2022,Apex Legends,246231480,32814720,10398,313,32768,468,62,7.5,Portuguese
2022,Retro,239840760,8222340,10271,64,5050,456,15,29.17,Portuguese
2022,Call of Duty: Modern Warfare II,238351260,16135860,45893,834,29522,453,30,14.77,Portuguese
2022,God of War Ragnarök,236462700,9030840,80022,1324,11591,449,17,26.18,Portuguese
2022,Music,234903420,12842040,109814,70,10490,446,24,18.29,Portuguese
2022,Poker,230247000,3267060,9799,32,2211,438,6,70.48,Portuguese
2022,Black Desert,223771860,6889620,15807,69,3664,425,13,32.48,Portuguese
2022,Fall Guys,216945480,9404520,50840,821,43875,412,17,23.07,Portuguese
2022,Special Events,214839840,1068180,540167,1040,4372,408,2,201.13,Portuguese
2022,Talk Shows & Podcasts,211400400,6291720,34430,64,3833,402,11,33.6,Portuguese
2022,God of War,191932560,9583920,33129,296,24014,365,18,20.03,Portuguese
2022,Raft,191075520,2751120,49102,103,7144,363,5,69.45,Portuguese
2022,Rust,184462140,4946460,15792,46,3995,350,9,37.29,Portuguese
2022,DayZ,178651500,9939660,28407,96,11438,339,18,17.97,Portuguese
2022,SUPER PEOPLE,163963860,4146900,43174,231,8194,311,7,39.54,Portuguese
2022,MU Online,163291380,5770080,7701,40,1476,310,10,28.3,Portuguese
2022,ASMR,162271560,1788660,3715,16,1783,308,3,90.72,Portuguese
2022,Paladins,157730580,5499960,7635,44,9685,300,10,28.68,Portuguese
2022,Art,157247220,12657240,21839,100,12210,299,24,12.42,Portuguese
2022,ARK: Survival Evolved,145199940,8635380,20626,105,10999,276,16,16.81,Portuguese
2022,Motorsport Manager,144313680,188340,63195,10,299,274,0,766.24,Portuguese
2022,Hearthstone,142213560,2945760,7443,33,2972,270,5,48.28,Portuguese
2022,Pokémon UNITE,138765660,5207940,8724,62,6102,264,9,26.65,Portuguese
2022,I'm Only Sleeping,138623040,5609280,35491,71,2909,263,10,24.71,Portuguese
2022,Tower of Fantasy,124187820,5043900,34577,970,6682,236,9,24.62,Portuguese
2022,Grounded,122944140,3127560,47694,167,6517,233,5,39.31,Portuguese
2022,Path of Exile,119920500,4384380,7308,153,2928,228,8,27.35,Portuguese
2022,Night of the Dead,119638500,190020,31138,12,272,227,0,629.61,Portuguese
2022,Sea of Thieves,111954420,6864780,50857,85,13981,213,13,16.31,Portuguese
2022,Lineage II,103696620,6280980,17930,68,1740,197,11,16.51,Portuguese
