Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2019,Catherine: Full Body,14668620,100380,10113,18,144,27,0,146.13,Chinese
2019,Yakuza 3,14207100,43620,1404,2,23,27,0,325.7,Chinese
2019,Warframe,14005560,2016180,1291,22,1194,26,3,6.95,Chinese
2019,Brawl Stars,13826220,115920,20771,41,193,26,0,119.27,Chinese
2019,Fitness & Health,13599900,24780,5780,6,75,25,0,548.83,Chinese
2019,GTFO,13507140,63240,10443,16,275,25,0,213.59,Chinese
2019,Conan Exiles,12977400,65520,8007,5,105,24,0,198.07,Chinese
2019,Don't Starve Together,12928680,430080,7562,13,767,24,0,30.06,Chinese
2019,AI: The Somnium Files,12672120,37080,7069,8,60,24,0,341.75,Chinese
2019,Star Wars Jedi: Fallen Order,12637140,99780,8103,26,231,24,0,126.65,Chinese
2019,Yakuza 0,12503700,78900,4793,6,150,23,0,158.48,Chinese
2019,World of Warships,12395220,1081980,1580,15,479,23,2,11.46,Chinese
