Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2022,Just Chatting,8816423340,72138540,69265,784,26979,16775,137,122.22,Chinese
2022,League of Legends,3274675020,49631460,129094,299,21447,6231,94,65.98,Chinese
2022,Apex Legends,2950405680,87093660,41756,636,29064,5614,165,33.88,Chinese
2022,Grand Theft Auto V,845782440,10826640,15227,144,4600,1609,20,78.12,Chinese
2022,Hearthstone,752390760,4602840,17978,38,2760,1431,8,163.46,Chinese
2022,Dead by Daylight,715348140,16855260,27306,136,5466,1361,32,42.44,Chinese
2022,VALORANT,672436560,26874660,27574,217,13154,1279,51,25.02,Chinese
2022,Teamfight Tactics,631771920,8020680,26256,72,4529,1202,15,78.77,Chinese
2022,ELDEN RING,625560120,16665780,64959,891,9123,1190,31,37.54,Chinese
2022,Sports,579251580,489120,32050,9,400,1102,0,1184.27,Chinese
2022,Overwatch 2,473601600,10798620,34539,580,9997,901,20,43.86,Chinese
2022,MapleStory,423743280,12344340,11890,86,3544,806,23,34.33,Chinese
2022,I'm Only Sleeping,353518860,5703060,16663,54,2266,672,10,61.99,Chinese
2022,Genshin Impact,290515620,27056640,14413,739,11071,552,51,10.74,Chinese
2022,Path of Exile,262479540,5808660,8813,118,2030,499,11,45.19,Chinese
2022,Monster Hunter Rise,225142560,11781000,16102,489,4872,428,22,19.11,Chinese
2022,Art,223834500,10569000,6063,64,3124,425,20,21.18,Chinese
2022,Pokémon Scarlet/Violet,193147500,3252480,41597,405,1969,367,6,59.38,Chinese
2022,Eternal Return,163258920,2257080,17135,31,1024,310,4,72.33,Chinese
2022,Games + Demos,163000920,3670560,10479,34,3584,310,6,44.41,Chinese
2022,Minecraft,161018880,8434320,10081,85,9389,306,16,19.09,Chinese
2022,Project Zomboid,158090400,1643100,43948,77,1122,300,3,96.21,Chinese
2022,Mahjong Soul,153805080,4881060,19827,60,5800,292,9,31.51,Chinese
2022,Talk Shows & Podcasts,150959340,587940,22835,10,820,287,1,256.76,Chinese
2022,Black Desert,138240780,6420120,5560,44,1554,263,12,21.53,Chinese
2022,Umamusume: Pretty Derby,138207720,1194000,32040,60,1399,262,2,115.75,Chinese
2022,PUBG: BATTLEGROUNDS,136606260,7303140,8962,71,3976,259,13,18.71,Chinese
2022,Dark and Darker,118817340,382860,23357,50,543,226,0,310.34,Chinese
2022,Age of Empires II,118522380,1516500,3065,20,608,225,2,78.16,Chinese
2022,Music,107249220,3213960,7695,23,2244,204,6,33.37,Chinese
2022,FINAL FANTASY XIV ONLINE,104216100,6028200,9951,116,1679,198,11,17.29,Chinese
2022,Dying Light 2: Stay Human,99693660,1321620,39749,176,1285,189,2,75.43,Chinese
2022,World of Warcraft,99365160,10166700,4774,164,2183,189,19,9.77,Chinese
2022,Fall Guys,99126000,1529700,14894,65,4372,188,2,64.8,Chinese
2022,Pokémon Legends: Arceus,92438880,1564260,34315,189,1377,175,2,59.09,Chinese
2022,Yu-Gi-Oh! Master Duel,92243100,1656660,7537,52,1615,175,3,55.68,Chinese
2022,Kartrider,89970120,1371840,70894,26,1219,171,2,65.58,Chinese
2022,Tom Clancy's Rainbow Six Siege,81055260,6100980,8762,65,4958,154,11,13.29,Chinese
2022,God of War Ragnarök,80792880,1227780,33612,174,890,153,2,65.8,Chinese
2022,Conqueror's Blade,76853520,2608620,6914,33,661,146,4,29.46,Chinese
2022,Ragnarok Online,76064160,4290780,4821,33,837,144,8,17.73,Chinese
2022,Dota 2,72140640,1173900,3868,16,601,137,2,61.45,Chinese
2022,Red Dead Redemption 2,69817680,831600,8401,24,866,132,1,83.96,Chinese
2022,V Rising,63500160,1207920,16209,116,1530,120,2,52.57,Chinese
2022,Rust,61759380,871200,6689,26,839,117,1,70.89,Chinese
2022,Counter-Strike: Global Offensive,61359720,3970140,6466,41,4365,116,7,15.46,Chinese
2022,NARAKA: BLADEPOINT,58822680,3130920,12906,33,1453,111,5,18.79,Chinese
2022,Escape from Tarkov,58290240,2690940,9695,49,1078,110,5,21.66,Chinese
2022,Shadowverse,58048020,1250820,6727,24,614,110,2,46.41,Chinese
2022,The Quarry,56191560,166200,23883,31,328,106,0,338.1,Chinese
2022,Gundam Evolution,55766400,574500,27992,82,1236,106,1,97.07,Chinese
2022,Cult of the Lamb,55143480,1014420,10721,73,1484,104,1,54.36,Chinese
2022,Dread Hunger,54662160,947160,29545,35,679,104,1,57.71,Chinese
2022,Travel & Outdoors,54349920,636180,7546,14,827,103,1,85.43,Chinese
2022,Overwatch,49427940,3773580,21337,65,2844,94,7,13.1,Chinese
2022,Tower of Fantasy,44497800,2108400,5276,98,1712,84,4,21.11,Chinese
2022,Splatoon 3,42514140,1927080,18265,115,1267,80,3,22.06,Chinese
2022,Epic Seven,41855460,557280,1492,10,199,79,1,75.11,Chinese
2022,Torchlight: Infinite,39531600,706860,10137,50,580,75,1,55.93,Chinese
2022,Warcraft III,39371280,2163000,6837,22,392,74,4,18.2,Chinese
2022,DayZ,37889100,393540,9666,29,146,72,0,96.28,Chinese
2022,Yi Xian: The Cultivation Card Game,37597200,154140,8671,21,170,71,0,243.92,Chinese
2022,SUPER PEOPLE,37193460,622740,9171,26,696,70,1,59.73,Chinese
2022,RimWorld,35777220,500700,9315,10,196,68,0,71.45,Chinese
2022,Pokémon UNITE,35296140,925680,11650,46,775,67,1,38.13,Chinese
2022,ARK: Survival Evolved,33772620,1178340,3470,60,1272,64,2,28.66,Chinese
2022,Odin: Valhalla Rising,33757200,460500,7048,31,397,64,0,73.31,Chinese
2022,Vampire Survivors,33633840,595500,12422,26,1588,63,1,56.48,Chinese
2022,Lineage W,33143280,858360,8675,23,272,63,1,38.61,Chinese
2022,NBA 2K23,33001800,196140,13987,14,269,62,0,168.26,Chinese
2022,osu!,32465340,3157320,3210,31,3238,61,6,10.28,Chinese
2022,"Pools, Hot Tubs, and Beaches",31123620,114060,19598,5,218,59,0,272.87,Chinese
2022,Call of Duty: Modern Warfare II,30928080,776280,13705,50,1324,58,1,39.84,Chinese
2022,Vindictus,30741660,2179020,3554,24,389,58,4,14.11,Chinese
2022,StarCraft II,28919400,639780,3273,9,403,55,1,45.2,Chinese
2022,God of War,28321920,594720,13421,23,849,53,1,47.62,Chinese
2022,Dragon Ball: The Breakers,27929520,104460,13544,16,121,53,0,267.37,Chinese
2022,Diablo II: Resurrected,27224340,1748400,2807,57,704,51,3,15.57,Chinese
2022,Poker,27134220,625380,8209,11,340,51,1,43.39,Chinese
2022,UNDECEMBER,26977140,871740,12582,38,558,51,1,30.95,Chinese
2022,Back 4 Blood,26883960,1157460,10320,22,878,51,2,23.23,Chinese
2022,Among Us,26689740,451980,4447,24,1429,50,0,59.05,Chinese
2022,VRChat,26417820,441300,6400,35,615,50,0,59.86,Chinese
2022,The Bridge Curse: Road to Salvation,26320260,284400,17065,69,988,50,0,92.55,Chinese
2022,Grounded,25846920,244620,7699,13,307,49,0,105.66,Chinese
2022,Horizon Forbidden West,25538340,1032840,14220,117,883,48,1,24.73,Chinese
2022,Rogue Legacy 2,25443720,158700,11577,17,256,48,0,160.33,Chinese
2022,Stray,25411380,696360,17259,228,2475,48,1,36.49,Chinese
2022,Food & Drink,24375840,217860,10603,5,590,46,0,111.89,Chinese
2022,THE KING OF FIGHTERS XV,24303840,424860,8471,15,206,46,0,57.2,Chinese
2022,Cyberpunk 2077,24033720,797220,8192,31,1221,45,1,30.15,Chinese
2022,Diablo Immortal,23934360,759120,14362,57,627,45,1,31.53,Chinese
2022,Jump King,22704120,188820,12057,7,476,43,0,120.24,Chinese
2022,Call of Duty: Warzone,22574040,853980,7589,39,1037,42,1,26.43,Chinese
2022,Ragnarok Origin,22322760,593580,6214,28,298,42,1,37.61,Chinese
2022,Across the Obelisk,21866580,107040,8866,10,77,41,0,204.28,Chinese
2022,Street Fighter V,21667740,259320,8534,6,206,41,0,83.56,Chinese
2022,Fire Emblem Warriors: Three Hopes,21142020,144780,16506,20,104,40,0,146.03,Chinese
2022,Monster Hunter: World,20947380,2366580,541,29,1775,39,4,8.85,Chinese
2022,Lost Ark,20745720,2093100,2915,96,980,39,3,9.91,Chinese
