Year,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Language
2018,League of Legends,6696315300,71051640,82191,444,78042,12741,135,94.25,Portuguese
2018,Counter-Strike: Global Offensive,2602429140,34161360,101378,279,59393,4951,65,76.18,Portuguese
2018,PUBG: BATTLEGROUNDS,1746463800,35264640,63966,296,42197,3323,67,49.52,Portuguese
2018,Fortnite,1490962980,47841720,41040,333,74840,2837,91,31.16,Portuguese
2018,IRL,733736100,4759020,58369,55,19887,1396,9,154.18,Portuguese
2018,Grand Theft Auto V,720005520,7582560,63012,81,14762,1370,14,94.96,Portuguese
2018,Dota 2,590100960,7924140,18186,51,6930,1122,15,74.47,Portuguese
2018,Tom Clancy's Rainbow Six Siege,399032280,8145780,34860,74,17448,759,15,48.99,Portuguese
2018,Just Chatting,362344500,2103000,49737,67,7976,689,4,172.3,Portuguese
2018,FIFA 18,332841120,3071280,16566,47,7728,633,5,108.37,Portuguese
2018,Tibia,291867000,13112160,5852,83,7523,555,24,22.26,Portuguese
2018,Hearthstone,275422260,2933160,14470,42,5494,524,5,93.9,Portuguese
2018,Sea of Thieves,262341600,1191720,63554,81,3176,499,2,220.14,Portuguese
2018,Dead by Daylight,205222260,4640400,37043,71,6839,390,8,44.23,Portuguese
2018,Overwatch,191393460,7941360,24668,69,15457,364,15,24.1,Portuguese
2018,FIFA 19,186673800,2626500,5981,66,5018,355,4,71.07,Portuguese
2018,ARK: Survival Evolved,184395000,1255380,43628,23,2008,350,2,146.88,Portuguese
2018,World of Warcraft,151878120,6780420,17059,211,5896,288,12,22.4,Portuguese
2018,Escape from Tarkov,146609880,1687140,28071,25,1165,278,3,86.9,Portuguese
2018,Black Desert,115960140,4786020,2644,36,4050,220,9,24.23,Portuguese
2018,God of War,109812120,1190040,37052,148,3733,208,2,92.28,Portuguese
2018,Rocket League,92339040,2393400,36976,33,9563,175,4,38.58,Portuguese
2018,Summoners War: Sky Arena,78853140,916920,3844,11,495,150,1,86,Portuguese
2018,Red Dead Redemption 2,78689520,1068300,23351,137,2918,149,2,73.66,Portuguese
2018,Realm Royale Reforged,77967660,1528380,26069,104,5890,148,2,51.01,Portuguese
2018,Monster Hunter: World,72479280,1534080,37886,101,3158,137,2,47.25,Portuguese
2018,Minecraft,72131280,2274300,39374,30,8214,137,4,31.72,Portuguese
2018,Talk Shows & Podcasts,63114120,216420,27840,11,1476,120,0,291.63,Portuguese
2018,Call of Duty: Black Ops 4,62346120,1738320,23622,81,4512,118,3,35.87,Portuguese
2018,NBA 2K18,59605860,192000,13462,10,773,113,0,310.45,Portuguese
2018,Marvel's Spider-Man,54260940,525780,33748,102,2008,103,1,103.2,Portuguese
2018,Tricky Towers,53261700,63720,29238,10,763,101,0,835.87,Portuguese
2018,Jurassic World Evolution,47983680,183780,33165,31,613,91,0,261.09,Portuguese
2018,Detroit: Become Human,47587800,113880,34571,23,616,90,0,417.88,Portuguese
2018,Battlefield V,47581860,798540,19765,103,2917,90,1,59.59,Portuguese
2018,Heroes of the Storm,46315080,1357920,16919,18,2231,88,2,34.11,Portuguese
2018,Assassin's Creed Odyssey,46167300,432660,21494,37,955,87,0,106.71,Portuguese
2018,Warframe,45545760,2247180,5040,31,3965,86,4,20.27,Portuguese
2018,VRChat,43527900,440400,9207,16,1476,82,0,98.84,Portuguese
2018,Conan Exiles,42586200,297300,36343,20,607,81,0,143.24,Portuguese
2018,Hunt: Showdown,36384660,390360,26935,18,995,69,0,93.21,Portuguese
2018,The Forest,34732860,381360,24942,18,2130,66,0,91.08,Portuguese
2018,Far Cry 5,33972120,459660,27638,89,2459,64,0,73.91,Portuguese
2018,Infestation: The New Z,32577000,1036500,1193,14,1038,61,1,31.43,Portuguese
2018,Always On,32210460,98640,5953,2,9,61,0,326.55,Portuguese
2018,Atlas,31472340,160380,25710,42,349,59,0,196.24,Portuguese
2018,Destiny 2,31337460,2421900,17921,97,5856,59,4,12.94,Portuguese
2018,Dark Souls,30522120,412980,17555,28,1393,58,0,73.91,Portuguese
2018,Path of Exile,30116100,2641800,2013,60,2657,57,5,11.4,Portuguese
2018,Paladins,29429760,2279040,1933,26,8077,55,4,12.91,Portuguese
2018,Street Fighter V,29116500,518520,7863,13,1077,55,0,56.15,Portuguese
2018,StarCraft II,29094960,306960,9118,8,658,55,0,94.78,Portuguese
2018,Poker,28868520,726540,13269,14,1028,54,1,39.73,Portuguese
2018,SCUM,26360460,574200,26030,92,1534,50,1,45.91,Portuguese
2018,Yu-Gi-Oh! Duel Links,26056680,235500,5480,7,805,49,0,110.64,Portuguese
2018,Friday the 13th: The Game,26008500,177300,47491,20,1529,49,0,146.69,Portuguese
2018,Graveyard Keeper,25192260,248220,21470,25,590,47,0,101.49,Portuguese
