,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,xQc,16355625675,218100,175453,74991,11691616,2496466,221231390,TRUE,FALSE,English,2021
2,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,summit1g,5508843420,216870,106801,25401,6168124,291068,74516866,TRUE,FALSE,English,2021
3,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,shroud,5097450900,150975,340617,33763,10456251,1191248,125009176,TRUE,FALSE,English,2021
4,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,HasanAbi,4934399820,181320,223056,27213,2475663,885087,54284621,TRUE,FALSE,English,2021
5,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,NICKMERCS,4822221525,114660,371609,42056,6658921,1424950,66218881,TRUE,FALSE,English,2021
6,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,loltyler1,4605786840,160485,98136,28699,5185000,723978,75783827,TRUE,FALSE,English,2021
7,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,ESL_CSGO,4493018730,491835,267681,9135,5970296,788238,140684539,TRUE,FALSE,English,2021
8,https://static-cdn.jtvnw.net/jtv_user_pictures/8de4d844-586d-4be9-8570-04a0678fa99e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,RanbooLive,4072643340,54105,346132,75273,4455149,3538030,61090108,TRUE,FALSE,English,2021
9,https://static-cdn.jtvnw.net/jtv_user_pictures/sykkuno-profile_image-6ab1e70e07e29e9b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,Sykkuno,3628816335,111180,108251,32639,4045694,1620075,63181498,TRUE,FALSE,English,2021
10,https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,ROSHTEIN,3598748400,197220,67600,18247,1068406,395159,43754957,FALSE,TRUE,English,2021
