,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,한동숙 (handongsuk),2093956065,178125,44976,11755,558174,178646,37821930,TRUE,FALSE,Korean,2019
2,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,풍월량 (hanryang1125),1908516270,174495,23137,10936,606512,95998,30309686,TRUE,FALSE,Korean,2019
3,https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Riot_esports_Korea,1790988375,53760,140557,33314,1384798,253750,70481572,TRUE,FALSE,Korean,2019
4,https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,서새봄냥 (saddummy),1332195255,193800,39189,6873,657765,188311,30618779,TRUE,FALSE,Korean,2019
5,https://static-cdn.jtvnw.net/jtv_user_pictures/8d9d49f3-d744-495b-ba28-facc57dc9381-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,앰비션_ (lol_ambition),1261589100,137985,64189,9142,472018,254460,26772623,TRUE,FALSE,Korean,2019
6,https://static-cdn.jtvnw.net/jtv_user_pictures/dbb514f1-469b-479e-b5ba-3ac0f09a2776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,얍얍 (yapyap30),1197172725,132315,29241,9047,329016,74196,26588607,TRUE,FALSE,Korean,2019
7,https://static-cdn.jtvnw.net/jtv_user_pictures/524c60f5-2adc-4886-8cb0-9ba5c878fe46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,따효니 (ddahyoni),579378315,150495,13393,3849,364491,33967,10983098,TRUE,FALSE,Korean,2019
8,https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,김도 (kimdoe),531669495,119145,13529,4461,318592,37293,13842560,TRUE,TRUE,Korean,2019
9,https://static-cdn.jtvnw.net/jtv_user_pictures/b2eb8a23-d6ad-45aa-bd8e-062133b64452-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Faker,518550300,21105,56325,24569,3842918,561071,25365445,TRUE,FALSE,Korean,2019
10,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,우왁굳 (woowakgood),513180210,153990,14177,3332,957646,142818,13395304,TRUE,FALSE,Korean,2019
