,,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Year
1,https://static-cdn.jtvnw.net/jtv_user_pictures/87dbd056-f3d4-451f-ba06-bbe3208a801b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100,Loui5Ng,91119930,111930,3441,813,52927,7077,2200057,TRUE,FALSE,Chinese (Hong Kong SAR),2019
2,https://static-cdn.jtvnw.net/jtv_user_pictures/08443c22-d1fc-4266-9799-556e31490fa3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,melonyeahyeahyeah,81226980,109050,5480,744,16018,15953,1855273,FALSE,TRUE,Chinese (Hong Kong SAR),2019
3,https://static-cdn.jtvnw.net/jtv_user_pictures/underground_dv-profile_image-36cd6cc091577d13-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,達哥 (underground_dv),53332320,11325,7502,4708,162452,3159,1983847,TRUE,FALSE,Chinese (Hong Kong SAR),2019
4,https://static-cdn.jtvnw.net/jtv_user_pictures/58ba2e14-68fb-4d8b-becf-78cc6e3b0e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,艾維院 (ankgaminghk),51066780,285855,2690,178,18367,1866,1655814,TRUE,TRUE,Chinese (Hong Kong SAR),2019
5,https://static-cdn.jtvnw.net/jtv_user_pictures/f91174c9-d38e-417d-8ecd-354613d4de30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,unableToBreathe,11302035,18615,3928,606,3170,3159,398582,FALSE,FALSE,Chinese (Hong Kong SAR),2019
6,https://static-cdn.jtvnw.net/jtv_user_pictures/4e682958-0a2c-44c4-8777-bfe5d0dbe6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,肥捏 (nepg),5848320,173025,3325,33,5506,455,179567,FALSE,TRUE,Chinese (Hong Kong SAR),2019
7,https://static-cdn.jtvnw.net/jtv_user_pictures/651f1b3c-66ba-4ee0-87e6-ebb84d34c0a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,RabbitRei,5434440,81945,5607,65,2339,1596,183281,FALSE,TRUE,Chinese (Hong Kong SAR),2019
8,https://static-cdn.jtvnw.net/jtv_user_pictures/3bc88f8e-70f0-43c5-bf0b-e7cecabbaa5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,contvlive,5260740,19710,1036,266,2113,2067,132029,FALSE,FALSE,Chinese (Hong Kong SAR),2019
9,https://static-cdn.jtvnw.net/jtv_user_pictures/uduki-profile_image-f94990220675cc29-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,Uduki,3730770,104550,181,35,2047,80,220504,TRUE,TRUE,Chinese (Hong Kong SAR),2019
10,https://static-cdn.jtvnw.net/jtv_user_pictures/c941921f-217b-4785-aa30-c05b3f39d4b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,毒叔 (diedoggod),3694395,129840,109,27,6298,269,123811,TRUE,FALSE,Chinese (Hong Kong SAR),2019
