Year,Game,Change watch time (mins),Change stream time (mins),Change average channels,Change average viewers,Language
2022,Virtual Casino,1280889420,5671740,11,2438,Portuguese
2022,Sports,1202893680,2175000,4,2289,Portuguese
2022,Lost Ark,1099350240,24762480,47,2092,Portuguese
2022,Slots,907201080,2567820,5,1726,Portuguese
2022,FIFA 23,801682320,11732700,22,1525,Portuguese
2022,Teamfight Tactics,679664640,4760220,9,1293,Portuguese
2022,FIFA 22,635228100,23393820,44,1209,Portuguese
2022,ELDEN RING,516566340,23496960,44,982,Portuguese
2022,Overwatch 2,461694360,19805880,37,878,Portuguese
2022,MIR 4,443111460,6653040,12,843,Portuguese
