,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,Just Chatting,1430958840,33403560,3125,398,11658,2722,64,-68.45,2022,Chinese
2,,Apex Legends,1023898920,54814980,-8719,379,12276,1949,104,-25.8,2022,Chinese
3,,ELDEN RING,616234500,16652700,49229,866,9071,1173,31,-675.43,2022,Chinese
4,,Overwatch 2,473598240,10798080,34531,579,9988,901,20,37.64,2022,Chinese
5,,Teamfight Tactics,441073200,4986480,20101,33,2317,840,10,15.92,2022,Chinese
6,,I'm Only Sleeping,330242940,5195880,10869,40,1902,628,10,16.1,2022,Chinese
7,,Grand Theft Auto V,308062980,3322560,1865,46,1012,586,6,6.46,2022,Chinese
8,,Sports,235785840,364560,-2132,4,206,449,0,-1573.16,2022,Chinese
9,,VALORANT,219035580,17670540,-4291,137,7082,417,34,-24.24,2022,Chinese
10,,Pokémon Scarlet/Violet,193147500,3252480,41597,405,1969,367,6,59.38,2022,Chinese
