,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,Call of Duty: Warzone,26807160420,855775020,246889,-4065,1172146,50852,1623,7.91,2020,English
2,,VALORANT,24778364520,428535120,999338,6659,539345,47019,813,57.82,2020,English
3,,Just Chatting,20363980980,169824780,488686,1702,329807,38558,321,16.33,2020,English
4,,Escape from Tarkov,13373508120,161820960,147231,1287,87262,25361,307,27.57,2020,English
5,,Among Us,11864286540,144674220,698802,5473,447791,22514,274,60.41,2020,English
6,,Minecraft,9035328240,138206100,336718,933,401955,17122,261,17.7,2020,English
7,,League of Legends,7003789800,11417580,31371,92,36228,13157,19,14.97,2020,English
8,,Music,6989490900,74670840,146309,937,78507,13255,141,35.03,2020,English
9,,Fall Guys,4474437300,86693220,586085,3354,320475,8490,164,51.61,2020,English
10,,Call of Duty: Black Ops Cold War,3186409680,117122400,471536,11838,248828,6046,222,19.71,2020,English
